pivot_sample,confirmation_sample,elapsed_seconds,timestampUs,x,y,angle,incoming_pixels,outgoing_pixels,incoming_speed,outgoing_speed,rejected_by
1049,1050,19.897478,1789749924463536,18.348474502563477,129.40628051757812,4.919221132621396,10.059210595575601,9.367617008553863,705.216671030258,515.2704625167141,"outside_board,angle"
1050,1051,19.91567,1789749924481716,11.790709495544434,122.71688842773438,2.5669139853562752,9.367617008553863,8.368781082515547,515.2704625167141,422.8151913563152,"outside_board,angle"
1051,1052,19.935458,1789749924501509,5.670406818389893,117.00914001464844,5.047822845827944,8.368781082515547,6.366931965144034,422.8151913563152,599.4099006913984,"outside_board,angle"
1100,1101,20.748966,1789749925315031,16.69940948486328,46.642723083496094,8.736472750543847,14.713454120829253,19.355566099299892,826.8308019572494,998.6361623826175,"outside_board,angle"
1101,1102,20.768343,1789749925334413,35.6837158203125,50.41552734375,4.5633150862747796,19.355566099299892,19.645889080911093,998.6361623826175,1786.6396035750356,"outside_board,angle"
1102,1103,20.779338,1789749925345409,54.5870246887207,55.76584243774414,5.525626936256796,19.645889080911093,18.461051448986417,1786.6396035750356,943.5271107526535,"outside_board,angle"
1103,1104,20.798911,1789749925364975,71.78362274169922,62.480560302734375,3.180687695036322,18.461051448986417,16.250724029116547,943.5271107526535,828.1467680332541,"outside_board,angle"
1104,1105,20.818534,1789749925384598,86.57000732421875,69.22213745117188,4.647204877307492,16.250724029116547,15.046791654050482,828.1467680332541,1283.0895927390195,angle
1105,1106,20.830268,1789749925396325,99.71019744873047,76.55298614501953,4.295964984510933,15.046791654050482,13.605589186534312,1283.0895927390195,648.4719120410997,angle
1106,1107,20.851242,1789749925417306,111.06187438964844,84.05308532714844,3.770472322299937,13.605589186534312,12.448094556709284,648.4719120410997,955.4144260272687,angle
1107,1108,20.864284,1789749925430335,120.97408294677734,91.58323669433594,4.565513628883341,12.448094556709284,11.991991435162653,955.4144260272687,657.5277681304228,angle
1108,1109,20.882513,1789749925448573,129.91537475585938,99.57455444335938,20.71560582226554,11.991991435162653,6.971735637280552,657.5277681304228,369.99074655206454,angle
1109,1110,20.901375,1789749925467416,133.1340789794922,105.7588119506836,47.423141426611416,6.971735637280552,5.115451925597574,369.99074655206454,452.1346937950834,
1112,1113,20.952181,1789749925518247,121.08929443359375,121.47401428222656,3.0545028766450013,8.064989381780151,8.962463784650204,394.78140788977197,702.6076971346978,"cooldown,angle"
1113,1114,20.964938,1789749925531003,115.25300598144531,128.27574157714844,7.056426393150609,8.962463784650204,10.214651657846284,702.6076971346978,591.1256746438821,"cooldown,angle"
1114,1115,20.982219,1789749925548283,109.60399627685547,136.78619384765625,5.769982405093142,10.214651657846284,10.992847495560891,591.1256746438821,581.9400474092585,"cooldown,angle"
1125,1126,21.169044,1789749925735110,52.793697357177734,143.34539794921875,0.6162371121151269,9.871836433582791,10.34576964224264,491.72327324082437,995.5513512550655,"outside_board,angle"
1126,1127,21.17943,1789749925745502,45.89067840576172,135.63934326171875,0.7218257700139519,10.34576964224264,9.900845008354839,995.5513512550655,527.6510876334918,"outside_board,angle"
1127,1128,21.198202,1789749925764266,39.37795639038086,128.1820526123047,3.9669478880461804,9.900845008354839,9.344502954572597,527.6510876334918,517.0421598280639,"outside_board,angle"
1128,1129,21.216275,1789749925782339,32.75900650024414,121.58589935302734,10.670204506302047,9.344502954572597,8.69846719852969,517.0421598280639,630.1410604556424,"outside_board,angle"
1129,1130,21.230077,1789749925796143,25.56731605529785,116.6927490234375,9.360682589634473,8.69846719852969,7.9292950552134105,630.1410604556424,389.1296586942833,"outside_board,angle"
1130,1131,21.250452,1789749925816520,18.37336540222168,113.35796356201172,8.856060829037864,7.9292950552134105,7.888998489178324,389.1296586942833,584.976901169978,"outside_board,angle"
1131,1132,21.263942,1789749925830006,10.790513038635254,111.18157958984375,9.814443825249997,7.888998489178324,6.005226406741703,584.976901169978,321.5822216312361,"outside_board,angle"
1132,1133,21.282613,1789749925848680,4.820408821105957,110.53304290771484,15.291084570016181,6.005226406741703,5.395386058035496,321.5822216312361,372.53235227753197,"outside_board,angle"
1183,1184,22.130661,1789749926696733,17.023359298706055,90.31245422363281,7.200241955190552,9.070404121852091,10.474466190990604,502.01483959774686,524.011515883266,"outside_board,angle"
1184,1185,22.150667,1789749926716722,26.49597930908203,94.78279113769531,5.314520442170263,10.474466190990604,10.602688187279377,524.011515883266,777.950560369754,"outside_board,angle"
1185,1186,22.164277,1789749926730351,35.62421417236328,100.17652130126953,2.2529752271566097,10.602688187279377,10.120012270501515,777.950560369754,561.1007025117274,"outside_board,angle"
1186,1187,22.182319,1789749926748387,44.127777099609375,105.66323852539062,4.978445563405807,10.120012270501515,11.13917205300206,561.1007025117274,596.3473447723144,"outside_board,angle"
1187,1188,22.200994,1789749926767066,52.928306579589844,112.49198913574219,14.426000485491434,11.13917205300206,6.689080405646987,596.3473447723144,556.0332839274304,"outside_board,angle"
1188,1189,22.213026,1789749926779096,57.02480697631836,117.77994537353516,52.689661033339846,6.689080405646987,5.852618462892057,556.0332839274304,279.4412940647468,
1191,1192,22.264114,1789749926830186,47.63909912109375,134.99281311035156,5.643139569955896,7.568616471803695,8.42289899388379,621.6012214030629,494.06962657694675,"cooldown,outside_board,angle"
1192,1193,22.281168,1789749926847234,43.52001953125,142.33981323242188,1.8705615183443702,8.42289899388379,9.295134196384025,494.06962657694675,454.2410299752736,"cooldown,outside_board,angle"
1491,1492,27.263772,1789749931829854,40.81279754638672,1.6258078813552856,22.140202014407542,13.858600919399786,14.197786385687838,1070.575582804155,825.6447072393486,"outside_board,angle"
